#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2018-08-01	2.044343306	0.744041372	33.57994446	29.56297097	0.049200417	0.3
2018-08-02	1.734306901	0.836755402	37.98465358	36.19551192	0.055965171	-99.99
2018-08-03	1.527134994	0.844099001	38.20442598	38.93546962	0.056266695	-99.99
2018-08-04	1.021779366	0.81921498	37.14165969	43.40815305	0.054722767	-99.99
2018-08-05	0.709803354	0.756192227	34.27667223	45.80647682	0.050529705	0.3
2018-08-06	0.49074765	0.696225693	31.62953385	48.01998047	0.046643871	-99.99
2018-08-07	0.210738178	0.662449785	29.92319118	52.92635638	0.044126087	-99.99
2018-08-08	0.1136291	0.621639348	27.8330137	51.78883459	0.041047852	-99.99
2018-08-09	-0.067487081	0.587911468	26.31437619	55.60689767	0.038827361	0.3
2018-08-10	-0.174084749	0.566205679	25.35134042	58.39127555	0.037420827	-99.99
2018-08-11	-0.138732157	0.51349974	22.88473482	56.61192205	0.033803767	-99.99
2018-08-12	-0.087393968	0.433933141	19.31500987	53.36063479	0.028290178	-99.99
2018-08-13	-0.052400309	0.366963255	16.36281106	51.43188539	0.023950528	0.3
2018-08-14	-0.030633889	0.331941624	14.7710468	50.86071459	0.021612568	-99.99
2018-08-15	-0.022975102	0.318688134	14.18388486	51.21937562	0.020753742	-99.99
2018-08-16	-0.025231509	0.298500117	13.2895725	49.5565972	0.019445558	-99.99
2018-08-17	-0.022854223	0.278357196	12.39449256	48.40182364	0.018140297	0.3
2018-08-18	0.005973212	0.253673553	11.29881196	47.4984325	0.016540797	-99.99
2018-08-19	0.08479453	0.223214993	9.742731457	44.12953408	0.01426262	-99.99
2018-08-20	0.064497405	0.22490448	9.814577037	45.33199607	0.014372099	-99.99
2018-08-21	0.034531927	0.206131451	9.119245928	46.30262262	0.013357318	0.3
2018-08-22	0.018715266	0.20874875	9.22946542	49.07616376	0.013525922	-99.99
2018-08-23	0.174711017	0.242117745	10.70973789	46.12480839	0.015688232	-99.99
2018-08-24	0.233000771	0.256236998	11.33627454	44.60113499	0.016603161	-99.99
2018-08-25	0.269625662	0.260110657	11.50852321	43.37237416	0.016854173	0.4
2018-08-26	0.283368377	0.261115222	11.55374409	44.41220946	0.016919269	-99.99
2018-08-27	0.361025798	0.246494533	10.91079638	41.31271977	0.015971847	-99.99
2018-08-28	0.390500647	0.24515384	10.85106416	40.68586289	0.01588497	-99.99
2018-08-29	0.392308793	0.240974789	10.66759561	40.1273718	0.015614167	0.3
2018-08-30	0.406891421	0.228292034	10.10902534	39.39427107	0.014792325	-99.99
2018-08-31	0.402271732	0.243444716	10.77710892	43.41288754	0.015774218	-99.99
2018-09-01	0.426009945	0.23213715	10.27877549	44.73175649	0.015042484	-99.99
2018-09-02	0.242236638	0.203810509	9.016656151	53.84088785	0.013206919	0.4
2018-09-03	0.202747182	0.193047189	8.535001998	58.67813632	0.012509455	-99.99
2018-09-04	0.191890938	0.1934821	8.344221275	62.88832366	0.01241567	-99.99
2018-09-05	0.214172652	0.197908696	8.534024629	65.55252226	0.012702513	-99.99
2018-09-06	0.161557843	0.204262727	8.810805519	72.46670753	0.013114254	0.2
2018-09-07	0.107950622	0.212161865	9.15635701	79.21890748	0.013626118	-99.99
2018-09-08	0.092596356	0.215841096	9.315215106	84.81692506	0.013864532	-99.99
2018-09-09	0.108376935	0.219393669	9.468477126	87.01561304	0.01409474	-99.99
2018-09-10	0.096093066	0.21884892	9.367979108	88.08726539	0.014116303	0.2
2018-09-11	0.066821863	0.231760268	9.905522531	89.97392971	0.014911466	-99.99
2018-09-12	0.118386669	0.218866963	9.361051835	86.78749899	0.014117549	-99.99
2018-09-13	0.098044208	0.211842454	9.018885703	88.20538267	0.013615634	-99.99
2018-09-14	0.116211578	0.200023781	8.70293827	86.45591044	0.012971753	0.3
2018-09-15	0.083736756	0.202901354	8.821975387	88.58208565	0.013147723	-99.99
2018-09-16	0.114644966	0.200762603	8.726433548	88.14629204	0.013009133	-99.99
2018-09-17	0.141612296	0.18816713	8.171940544	85.879943	0.012192947	-99.99
2018-09-18	0.16418678	0.184799572	8.024634586	84.33186468	0.01197473	0.3
2018-09-19	0.125875137	0.181940697	7.899731223	87.15257704	0.011789474	-99.99
2018-09-20	0.161611011	0.179268662	7.858176224	85.51284756	0.011559463	-99.99
2018-09-21	0.163979896	0.166775699	7.357611043	84.37173852	0.010823147	-99.99
2018-09-22	0.177325544	0.1548612	6.80686246	83.57138644	0.010009518	0.3
2018-09-23	0.190658293	0.144646754	6.387728717	82.68512624	0.009394349	-99.99
2018-09-24	0.173194582	0.146817204	6.483714094	82.8161653	0.009534993	-99.99
2018-09-25	0.146379809	0.139310791	6.100858838	82.7403085	0.008969917	-99.99
2018-09-26	0.102569715	0.132016935	5.780500961	82.1711231	0.008497276	0.4
2018-09-27	0.076584614	0.132441051	5.798586417	81.73268257	0.008524758	-99.99
2018-09-28	0.033581515	0.125222284	5.478514843	83.07882787	0.008056981	-99.99
2018-09-29	0.0501779	0.121741551	5.325217332	80.0927792	0.007831429	-99.99
2018-09-30	0.017187817	0.105680098	4.549187274	80.6232872	0.006694781	0.3
2018-10-01	0.011599971	0.104878432	4.49262223	80.88443391	0.0066111	-99.99
2018-10-02	0.171897562	0.175015897	7.592489496	79.82884302	0.011156004	-99.99
2018-10-03	0.503184007	0.308661662	13.49835586	74.72184439	0.019816248	-99.99
2018-10-04	0.69569553	0.383374921	16.79819861	72.8133562	0.024657666	0.4
2018-10-05	0.813163569	0.427366916	18.80260293	69.71429133	0.027597502	-99.99
2018-10-06	0.87120626	0.479776634	21.11507087	68.91898953	0.030993651	-99.99
2018-10-07	0.893994229	0.507450643	22.33493182	69.82490524	0.032786928	-99.99
2018-10-08	0.967567599	0.527120391	23.16523728	66.26693833	0.034006083	0.2
2018-10-09	0.959297715	0.544411721	23.92660807	67.28445912	0.035126561	-99.99
2018-10-10	0.999650721	0.561216307	24.73293332	66.33271989	0.036311365	-99.99
2018-10-11	1.039388771	0.568876305	25.10062419	65.65418936	0.03685251	-99.99
2018-10-12	0.842359558	0.512187404	22.53915666	69.29704522	0.033100308	0.2
2018-10-13	0.502512952	0.385916334	16.95741605	75.14875811	0.024917942	-99.99
2018-10-14	0.300458115	0.312083991	13.66349237	78.98344102	0.020086447	-99.99
2018-10-15	0.171795208	0.276918707	12.10901627	81.56585139	0.017807739	-99.99
2018-10-16	0.11704524	0.239204819	10.43959013	81.91299847	0.015534343	0.3
2018-10-17	0.062740095	0.213655776	9.313501421	84.11186008	0.013878764	-99.99
2018-10-18	0.137404743	0.261582332	11.48248269	81.40658954	0.01703985	-99.99
